key,value
company_name,TeiKyo
company_legal_name,"Hunan Dijing Chemical New Material Co., Ltd."
company_tagline,"High-performance coatings and industrial new materials since 2000."
hero_primary,Coating innovation.
hero_emphasis,Built for industry.
hero_intro,"TeiKyo integrates research, production, sales and technical service for automotive, electronic, waterborne and industrial anticorrosive coatings."
about_primary,High-performance coatings developed through
about_emphasis,research and service.
about_body,"TeiKyo is a modern high-tech enterprise integrating the research, production, sales and service of high-end environmental coatings and industrial new materials. Our work covers automotive, electronics, waterborne systems and industrial corrosion protection."
about_hero_eyebrow,About TeiKyo
about_hero_primary,Rooted in coatings.
about_hero_emphasis,Driven by innovation.
about_hero_intro,"An integrated coatings enterprise serving customers through development, manufacturing, testing and technical support."
solutions_hero_eyebrow,Four application industries
solutions_hero_primary,Coating systems for
solutions_hero_emphasis,real applications.
solutions_hero_intro,"TeiKyo supports automotive, electronic, water-based and industrial anticorrosive coating applications."
solutions_intro_eyebrow,Industry solutions
solutions_intro_primary,From material selection to
solutions_intro_emphasis,production support.
solutions_intro_body,"Our teams connect coating selection, application trials, performance testing and quality support for each customer program."
contact_email,info@teikyo.cn
contact_phone_display,0086-0735-4521666
contact_phone_link,+867354521666
address,"Baishu Industrial Park, Guiyang County, Chenzhou City, Hunan Province, China\nFax: 0086-0735-4521999 · Postal code: 424400"
